location,type,name,price,totalPrice,quantityPerPack,originalPrice,salePrice,profit,instock,message
makro,เครื่องดื่ม,เพียวริคุ ทับทิม 350ml * 6,10,57,6,9.5,10.925,0.5,12,8-Mar
makro,เครื่องดื่ม,เพียวริคุ ลิ้นจี่ 350ml * 6,10,57,6,9.5,10.925,0.5,6,8-Mar
makro,ขนม,เมล็ดฟักทอง 25g * 5,20,84,5,16.8,19.32,3.2,15,26-Mar
makro,เครื่องดื่ม,เย็น เย็น เก๊กฮวย * 24,10,195,24,8.125,9.34375,1.875,24,12-Feb
makro,เครื่องดื่ม,เย็น เย็น กระเจี๊ยบ แดง * 24,10,195,24,8.125,9.34375,1.875,0,
makro,เครื่องดื่ม,เย็น เย็น บ๊วย * 24,10,195,24,8.125,9.34375,1.875,24,12-Feb
makro,ขนม,เลย์ 10บ,10,1,1,1,1.15,9,0,ไม่รู้ต้นทุน
makro,ขนม,เลย์ 20บ,20,1,1,1,1.15,19,0,ไม่รู้ต้นทุน
makro,ขนม,เลย์ กุ้งเผาน้ำจิ้มซีฟู้ด 40/42g * 6,20,103,6,17.16666667,19.74166667,2.833333333,0,
makro,ขนม,เลย์ ร็อค ญ เอ็กซ์ตร้าบาร์บีคิว * 6,20,106,6,17.66666667,20.31666667,2.333333333,0,
ร้านขายส่ง,แช่เย็น/ฟรีส,เห็ดเข็มทอง,16,13,1,13,14.95,3,9,2-Mar
makro,แช่เย็น/ฟรีส,เห็ดเข็มทอง ญ,25,20,1,20,23,5,1,-3
ร้านขายส่ง,แช่เย็น/ฟรีส,เห็ดกลม,16,12,1,12,13.8,4,9,2-Mar
ตลาดแก่งคอย,กับข้าวสด,เอแคร์,12,10,1,10,11.5,2,0,-2
makro,ขนม,เอลเซ่,3,1,1,1,1.15,2,-3,ไม่รู้ต้นทุน
makro,เครื่องดื่ม,เอส เขียว ครีมโซดา 360ml * 12,10,112,12,9.333333333,10.73333333,0.666666667,12,8-Mar
makro,เครื่องดื่ม,เอส เลม่อนไลม์ เขียว 360ml * 12,10,112,12,9.333333333,10.73333333,0.666666667,12,26-Mar
makro,เครื่องดื่ม,เอส ขวด * 24,10,205,24,8.541666667,9.822916667,1.458333333,0,8-Mar
makro,เครื่องดื่ม,เอส ขวดแก้ว,10,205,24,8.541666667,9.822916667,1.458333333,72,26-Mar
makro,เครื่องดื่ม,เอส ขาว ลิ้นจี่ 360ml * 12,10,112,12,9.333333333,10.73333333,0.666666667,12,26-Mar
makro,เครื่องดื่ม,เอส ฟ้า กามิกาเซ่ 360ml * 12,10,112,12,9.333333333,10.73333333,0.666666667,12,26-Mar
makro,เครื่องดื่ม,เอส สตรอเบอร์รี่ 360ml * 12,10,109,12,9.083333333,10.44583333,0.916666667,4,8-Feb
makro,เครื่องดื่ม,เอส ส้ม 360ml * 12,10,112,12,9.333333333,10.73333333,0.666666667,12,26-Mar
ตลาดแก่งคอย,กับข้าวสด,แกง,25,20,1,20,23,5,-2,
ร้านขายส่ง,ขนม,แคปหมู,10,120,12,10,11.5,0,0,ไม่รู้ต้นทุน
makro,ขนม,แคมปัส * 12,5,47,12,3.916666667,4.504166667,1.083333333,0,
ตลาดแก่งคอย,กับข้าวสด,แครอทต้ม,10,8,1,8,9.2,2,0,12-Feb
makro,ขนม,แคลชีส * 12,5,50,12,4.166666667,4.791666667,0.833333333,22,
ตลาดแก่งคอย,กับข้าวสด,แจ๋ว,12,10,1,10,11.5,2,0,
makro,ของใช้ส่วนตัว,แชมพู rejoice 70ml * 6,20,94,6,15.66666667,18.01666667,4.333333333,6,8-Mar
makro,ของใช้ส่วนตัว,แชมพู ซันซิล 60/70ml * 6,20,92,6,15.33333333,17.63333333,4.666666667,6,8-Mar
ตลาดแก่งคอย,กับข้าวสด,แซนวิช,12,10,1,10,11.5,2,0,
ตลาดแก่งคอย,กับข้าวสด,แตงกวา 5 โล,10,8,1,8,9.2,2,0,-3
makro,ของใช้ส่วนตัว,แป้ง protex 50g,14,1,1,1,1.15,13,11,
makro,ของใช้ส่วนตัว,แป้งเด็ก johnson 180g * 6,29,171,6,28.5,32.775,0.5,1,
makro,ของใช้ส่วนตัว,แป้งเด็ก johnson 65g * 12,13,117,12,9.75,11.2125,3.25,9,
makro,ของใช้ส่วนตัว,แป้งเย็น protex fresh 140g * 6,35,167,6,27.83333333,32.00833333,7.166666667,2,
makro,ของใช้ส่วนตัว,แป้งเย็น protex ชาร์โคล 140g * 6,35,167,6,27.83333333,32.00833333,7.166666667,6,12-Feb
makro,ของใช้ส่วนตัว,แป้งเย็น protex ลาเวนเดอ 140g * 6,35,167,6,27.83333333,32.00833333,7.166666667,6,12-Feb
makro,ของใช้ส่วนตัว,แป้งเย็นตรางู 140/150g * 3,35,89,3,29.66666667,34.11666667,5.333333333,1,
makro,ของใช้ส่วนตัว,แป้งเย็นตรางู 420g * 2,80,142,2,71,81.65,9,1,-3
makro,ของใช้ส่วนตัว,แป้งโยคี 100g * 6,20,87,6,14.5,16.675,5.5,1,
makro,ของใช้ส่วนตัว,แป้งโยคี 60g * 6,15,63,6,10.5,12.075,4.5,7,
makro,ของใช้ส่วนตัว,แปรงสีฟัน 15บ,15,1,1,1,1.15,14,6,ไม่รู้ต้นทุน
makro,ของใช้ส่วนตัว,แปรงสีฟัน 20บ,20,1,1,1,1.15,19,6,ไม่รู้ต้นทุน
makro,ของใช้ส่วนตัว,แปรงสีฟัน Chigour * 12,10,54,12,4.5,5.175,5.5,12,8-Mar
makro,ของใช้ส่วนตัว,แปรงสีฟัน colgate กัมคลีน * 6,25,120,6,20,23,5,6,8-Mar
makro,ของใช้ส่วนตัว,แปรงสีฟัน คอลเกต * 12,15,114,12,9.5,10.925,5.5,12,12-Feb
makro,เครื่องดื่ม,แฟนต้า เขียว 330ml * 12,13,137,12,11.41666667,13.12916667,1.583333333,12,19-Mar
makro,เครื่องดื่ม,แฟนต้า แดง 330ml * 12,13,137,12,11.41666667,13.12916667,1.583333333,24,26-Mar
makro,เครื่องดื่ม,แฟนต้า ส้ม 330ml * 12,13,137,12,11.41666667,13.12916667,1.583333333,49,12-Feb
makro,เครื่องดื่ม,แฟนต้า องุ่น 330ml * 12,13,137,12,11.41666667,13.12916667,1.583333333,12,8-Mar
online,ขนม,แมส * 10,12,40,5,8,9.2,4,-4,
makro,เครื่องดื่ม,แลคตาซอย รสหวาน 300ml * 36,11,348,36,9.666666667,11.11666667,1.333333333,72,26-Mar
ร้านขายส่ง,แช่เย็น/ฟรีส,แหนม แท่ง/ก้อน,30,21.5,1,21.5,24.725,8.5,50,ไม่รู้ต้นทุน
ตลาดแก่งคอย,กับข้าวสด,แหนมทอด,25,20,1,20,23,5,0,
makro,ของใช้ส่วนตัว,แอทเทค อีซี่ 110/120g * 12,10,79,12,6.583333333,7.570833333,3.416666667,24,26-Mar
makro,ของใช้ส่วนตัว,แอทเทค อีซี่ 60g 5บ * 12,5,45,12,3.75,4.3125,1.25,2,
makro,ของใช้ส่วนตัว,แอทแทค 3D 90g * 12,10,89,12,7.416666667,8.529166667,2.583333333,0,
makro,ของใช้ส่วนตัว,แอทแทค อีซี่ขาว 20บ. * 3,20,48,3,16,18.4,4,3,
makro,ของใช้ส่วนตัว,แอทแทค อีซี่ชมพู 20บ. * 3,20,48,3,16,18.4,4,3,
makro,ของใช้ส่วนตัว,แอทแทค อีซี่ม่วง 20บ. * 3,20,48,3,16,18.4,4,5,
makro,เครื่องปรุง,โกกิ 150g * 12,16,166,12,13.83333333,15.90833333,2.166666667,0,
makro,ขนม,โคโคริ รสโกโก้ * 12+1,5,49,12,4.083333333,4.695833333,0.916666667,11,
makro,ขนม,โคโคริ รสชีส * 12+1,5,49,12,4.083333333,4.695833333,0.916666667,8,
makro,ขนม,โคโคริ รสบัตเตอร์มิลค์ * 12+1,5,49,12,4.083333333,4.695833333,0.916666667,9,
makro,เครื่องดื่ม,โค้ก 295ml * 24,13,244,24,10.16666667,11.69166667,2.833333333,24,8-Mar
ตลาดแก่งคอย,กับข้าวสด,โจ๊ก,35,30,1,30,34.5,5,0,-4
makro,มาม่า/โจ๊ก/กระป๋อง,โจ๊กคัพ คนอร์ * 6,20,103,6,17.16666667,19.74166667,2.833333333,23,
makro,มาม่า/โจ๊ก/กระป๋อง,โจ๊กคัพ มาม่า ชมพู * 6,15,75,6,12.5,14.375,2.5,6,
ร้านขายส่ง,เครื่องดื่ม,โชกุน * 6,5,25,6,4.166666667,4.791666667,0.833333333,0,8-Feb
makro,ของใช้ส่วนตัว,โซฟี กลางคืน 29cm 4ช * 12,16,125,12,10.41666667,11.97916667,5.583333333,7,
makro,ของใช้ส่วนตัว,โซฟี ปีก กลางวัน 22cm * 4,16,1,1,1,1.15,15,11,ไม่รู้ต้นทุน
makro,ขนม,โดโซะ ข้าวหอมอบกรอบ 56g * 6,20,99,6,16.5,18.975,3.5,0,
makro,ขนม,โดโซะ รสคอร์นชีส 56g * 6,20,99,6,16.5,18.975,3.5,-1,
makro,ขนม,โดโซะ รสซอสเซจจิ 56g * 6,20,99,6,16.5,18.975,3.5,0,
ตลาดแก่งคอย,กับข้าวสด,โดนัทเปีย,12,10,1,10,11.5,2,-6,
ตลาดแก่งคอย,กับข้าวสด,โดนัทก้อน,5,4,1,4,4.6,1,0,-3
makro,ของใช้ส่วนตัว,โดฟ แชมพู 60/70ml * 6,20,89,6,14.83333333,17.05833333,5.166666667,6,8-Mar
makro,ของใช้ส่วนตัว,โนคา ชอล์กกันมด * 20,10,148,20,7.4,8.51,2.6,-1,
ร้านขายส่ง,ขนม,โนริ สาหร่ายม้วน,10,1,1,1,1.15,9,0,-2
makro,แช่เย็น/ฟรีส,โบโลน่า CP 150g * 3,38,93,3,31,35.65,7,3,
makro,แช่เย็น/ฟรีส,โบโลน่าพริก CP 150g * 3,38,93,3,31,35.65,7,0,
makro,แช่เย็น/ฟรีส,โบโลน่าพืช ชีโร่มีท 90g * 3,35,89,3,29.66666667,34.11666667,5.333333333,0,
makro,ขนม,โปเต้ 32/27g * 6,10,51,6,8.5,9.775,1.5,-1,
makro,ขนม,โปเต้ 65g * 3,20,51,3,17,19.55,3,-1,
makro,มาม่า/โจ๊ก/กระป๋อง,โรซ่า พร้อม ห่อหมกทูน่า 105g * 6,22,115,6,19.16666667,22.04166667,2.833333333,-1,
makro,ขนม,โลซาน โกโก้ * 12,6,49.5,12,4.125,4.74375,1.875,12,
makro,ขนม,โลซาน นม * 12,6,49.5,12,4.125,4.74375,1.875,12,
makro,ขนม,โลซาน มะพร้าว ใบเตย * 12,6,47,12,3.916666667,4.504166667,2.083333333,8,
makro,เครื่องดื่ม,โสม 100ml * 50,10,395,50,7.9,9.085,2.1,71,8-Feb
makro,ขนม,โอโจ้ รสนม,6,29,6,4.833333333,5.558333333,1.166666667,0,
makro,ขนม,โอโตริ รสนม 12g * 12,5,48,12,4,4.6,1,12,8-Mar
makro,ขนม,โอริโอ้ 28.5/27.6g * 12,6,49,12,4.083333333,4.695833333,1.916666667,7,26-Mar
makro,ขนม,โอริโอ้ black pink * 9,6,49,9,5.444444444,6.261111111,0.555555556,12,26-Mar
makro,ขนม,โอริโอ้ รส สตอร์เบอร์รี่,6,56,12,4.666666667,5.366666667,1.333333333,4,
makro,ขนม,โอริโอ้ยาว black pink 137g * 2,30,51.5,2,25.75,29.6125,4.25,-1,
makro,เครื่องดื่ม,โออิชิ แตงโม,15,195,24,8.125,9.34375,6.875,14,8-Feb
ตลาดแก่งคอย,กับข้าวสด,ไก่เสียบไม้ 10,10,8,1,8,9.2,2,0,
ตลาดแก่งคอย,กับข้าวสด,ไก่เสียบไม้ 40,40,35,1,35,40.25,5,-8,
ตลาดแก่งคอย,กับข้าวสด,ไก่ทอด,25,20,1,20,23,5,-5,
ตลาดแก่งคอย,กับข้าวสด,ไก่ทอด ญ,35,25,1,25,28.75,10,0,2-Mar
ร้านขายส่ง,ข้าว/ไข่,ไข่เค็ม ขาว,8,1,1,1,1.15,7,20,ไม่รู้ต้นทุน
ร้านขายส่ง,ข้าว/ไข่,ไข่เยี่ยวม้า ชมพู,8,1,1,1,1.15,7,-1,ไม่รู้ต้นทุน
ร้านขายส่ง,ข้าว/ไข่,ไข่ไก่,5,99,30,3.3,3.795,1.7,180,2-Mar
ตลาดแก่งคอย,กับข้าวสด,ไข่ต้ม,25,20,1,20,23,5,0,-3
ตลาดแก่งคอย,กับข้าวสด,ไข่นกกะทา,25,20,1,20,23,5,-1,-2
ตลาดแก่งคอย,กับข้าวสด,ไข่ลูกเขย,25,20,1,20,23,5,0,
makro,กับข้าวสด,ไข่หงศ์,12,10,1,10,11.5,2,0,-2
makro,ของใช้ส่วนตัว,ไฟแช็ค ARO,8,203,50,4.06,4.669,3.94,0,
makro,ของใช้ส่วนตัว,ไฟแช็ค Taiyo * 50,8,252,50,5.04,5.796,2.96,44,
makro,มาม่า/โจ๊ก/กระป๋อง,ไวไวแห้ง แพ็ค * 12,15,150,12,12.5,14.375,2.5,0,
makro,มาม่า/โจ๊ก/กระป๋อง,ไวไวคัพ ต้มโคล้ง * 6,15,71,6,11.83333333,13.60833333,3.166666667,8,
makro,มาม่า/โจ๊ก/กระป๋อง,ไวไวซอง * 30,7,170,30,5.666666667,6.516666667,1.333333333,30,12-Feb
makro,มาม่า/โจ๊ก/กระป๋อง,ไวไวซอง ต้มโคล้ง * 30,7,170,30,5.666666667,6.516666667,1.333333333,35,
makro,เครื่องดื่ม,ไวตามิ้ลค์ vitamilk double black * 24,15,330,24,13.75,15.8125,1.25,24,26-Mar
makro,เครื่องดื่ม,ไวตามิ้ลค์ vitamilk thai tea ขวด 300ml * 12,18,186,12,15.5,17.825,2.5,12,26-Mar
makro,เครื่องดื่ม,ไวตามิ้ลค์ vitamilk ขวด 300ml * 24,15,330,24,13.75,15.8125,1.25,58,8-Feb
makro,แช่เย็น/ฟรีส,ไส้กรอกแฟรงเฟริตไก่ 155g * 3,38,105,3,35,40.25,3,0,
makro,แช่เย็น/ฟรีส,ไส้กรอกไก่หนังกรอบ SUPER CHEF 500g,91,79,1,79,90.85,12,0,
makro,แช่เย็น/ฟรีส,ไส้กรอกระเบิด SPC 500g,65,55,1,55,63.25,10,0,
ตลาดแก่งคอย,กับข้าวสด,ไส้กรอกอีสาน,25,20,1,20,23,5,0,-2
ร้านขายส่ง,เครื่องปรุง,กระเทียม,10,390,50,7.8,8.97,2.2,-2,ไม่รู้ต้นทุน
ตลาดแก่งคอย,กับข้าวสด,กระเพาะปลา,35,30,1,30,34.5,5,0,
ร้านขายส่ง,ของใช้ส่วนตัว,กระดาษ,2,0,1,0,0,2,0,-3
ตลาดแก่งคอย,กับข้าวสด,กระดูกหมู,25,20,1,20,23,5,-2,
makro,เครื่องดื่ม,กระทิงแดง 100ml * 50,10,424,50,8.48,9.752,1.52,50,8-Mar
makro,เครื่องดื่ม,กระทิงแดง extra abc 145ml * 10,10,85,10,8.5,9.775,1.5,2,8-Feb
ตลาดแก่งคอย,กับข้าวสด,กล้วยแขกถุง,25,20,1,20,23,5,0,-4
ตลาดแก่งคอย,กับข้าวสด,กล้วยแบน,6,5,1,5,5.75,1,0,
ตลาดแก่งคอย,กับข้าวสด,ก๊วยเตี๊ยวกล่อง,35,30,1,30,34.5,5,-1,
ตลาดแก่งคอย,กับข้าวสด,ก๊วยเตี๊ยวมีปลาทู,40,35,1,35,40.25,5,0,
ตลาดแก่งคอย,กับข้าวสด,ก๊วยจั๊บ,35,30,1,30,34.5,5,-7,
makro,เครื่องปรุง,กะทิกล่อง อร่อยดี 150ml * 6,15,88,6,14.66666667,16.86666667,0.333333333,2,
makro,เครื่องปรุง,กะทิกล่อง อร่อยดี ใหญ่ 250ml * 6,25,124,6,20.66666667,23.76666667,4.333333333,5,
makro,เครื่องปรุง,กะปิ กระปุก,12,1,1,1,1.15,11,-2,ไม่รูู้ต้นทุน
ตลาดแก่งคอย,กับข้าวสด,กับข้าว 25,25,20,1,20,23,5,-128,
makro,เครื่องดื่ม,กาโตะ ลิ้นจี่ * 6,10,47,6,7.833333333,9.008333333,2.166666667,9,8-Feb
makro,เครื่องดื่ม,กาโตะ ส้ม * 6,10,47,6,7.833333333,9.008333333,2.166666667,4,8-Feb
ตลาดแก่งคอย,กับข้าวสด,กุ้ง,110,1,1,1,1.15,109,0,ไม่รู้ต้นทุน
ตลาดแก่งคอย,กับข้าวสด,กุ้งสด 40,40,1,1,1,1.15,39,0,ไม่รู้ต้นทุน
ตลาดแก่งคอย,กับข้าวสด,กุ้งสด 65,65,150,3,50,57.5,15,0,
ตลาดแก่งคอย,กับข้าวสด,กุนเชียง,25,20,1,20,23,5,-1,
ร้านขายส่ง,ขนม,ขนมเปี๊ยะ,5,4,1,4,4.6,1,0,-2
ร้านขายส่ง,ขนม,ขนมแท่ง เอ็ม & ดี,5,4,1,4,4.6,1,0,
makro,ขนม,ขนมโรล Fershay Roll รส chocolate * 12 แถม 2,5,46,12,3.833333333,4.408333333,1.166666667,11,
